item_id,text,system,score
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,gpt-4o-mini,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,llama-3-8b,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,mistral-7b,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,claude-haiku,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,gpt-4o,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,claude-sonnet,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,gemini-flash,1
item-000,Given an invoice about arithmetic word problems: Extract every date and normalise it to ISO 8601.,qwen-72b,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",gpt-4o-mini,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",llama-3-8b,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",mistral-7b,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",claude-haiku,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",gpt-4o,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",claude-sonnet,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",gemini-flash,1
item-001,"Given an email thread about SQL generation: Summarise what changed, in under twenty words.",qwen-72b,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,gpt-4o-mini,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,llama-3-8b,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,mistral-7b,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,claude-haiku,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,gpt-4o,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,claude-sonnet,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,gemini-flash,1
item-002,Given a git diff about date parsing: Rewrite this for a customer who is already annoyed.,qwen-72b,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,gpt-4o-mini,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,llama-3-8b,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,mistral-7b,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,claude-haiku,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,gpt-4o,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,claude-sonnet,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,gemini-flash,1
item-003,Given a shell transcript about unit conversion: Extract every date and normalise it to ISO 8601.,qwen-72b,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,gpt-4o-mini,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,llama-3-8b,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,mistral-7b,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,claude-haiku,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,gpt-4o,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,claude-sonnet,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,gemini-flash,1
item-004,Given a stack trace about JSON extraction: Give the smallest regex that matches all of these and nothing else.,qwen-72b,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",gpt-4o-mini,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",llama-3-8b,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",mistral-7b,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",claude-haiku,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",gpt-4o,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",claude-sonnet,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",gemini-flash,1
item-005,"Given a support ticket about summarisation: Say whether this describes a regression, in one word.",qwen-72b,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",gpt-4o-mini,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",llama-3-8b,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",mistral-7b,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",claude-haiku,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",gpt-4o,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",claude-sonnet,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",gemini-flash,1
item-006,"Given a stack trace about code review: Summarise what changed, in under twenty words.",qwen-72b,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,gpt-4o-mini,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,llama-3-8b,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,mistral-7b,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,claude-haiku,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,gpt-4o,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,claude-sonnet,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,gemini-flash,1
item-007,Given a support ticket about regex writing: Rewrite this for a customer who is already annoyed.,qwen-72b,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,gpt-4o-mini,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,llama-3-8b,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,mistral-7b,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,claude-haiku,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,gpt-4o,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,claude-sonnet,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,gemini-flash,1
item-008,Given a PR description about tone rewriting: Return the total as a number with no currency symbol.,qwen-72b,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,gpt-4o-mini,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,llama-3-8b,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,mistral-7b,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,claude-haiku,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,gpt-4o,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,claude-sonnet,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,gemini-flash,1
item-009,Given a changelog about citation lookup: Give the smallest regex that matches all of these and nothing else.,qwen-72b,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",gpt-4o-mini,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",llama-3-8b,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",mistral-7b,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",claude-haiku,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",gpt-4o,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",claude-sonnet,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",gemini-flash,1
item-010,"Given an invoice about arithmetic word problems: Say whether this describes a regression, in one word.",qwen-72b,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,gpt-4o-mini,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,llama-3-8b,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,mistral-7b,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,claude-haiku,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,gpt-4o,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,claude-sonnet,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,gemini-flash,1
item-011,Given a CSV export about SQL generation: Extract every date and normalise it to ISO 8601.,qwen-72b,1
item-012,Given a support ticket about date parsing: List the table names this touches.,gpt-4o-mini,1
